cliente,recencia_dias,frecuencia,monetario,ticket_medio,antiguedad_dias,categorias_distintas,proporcion_movil,dias_entre_pedidos,cat_informatica,cat_telefonia,abandona,segmento,particion
C0065,345,7,1191.45,170.20714285714286,527,2,1.0,75.3,0,0,1,veterano,entrena
C0066,4,13,1262.56,97.11999999999999,195,2,0.07692307692307693,15.0,0,1,0,reciente,prueba
C0067,15,5,302.37,60.474000000000004,174,3,0.0,34.8,0,1,0,reciente,prueba
C0068,57,7,431.33,61.61857142857143,208,3,0.7142857142857143,29.7,1,0,0,reciente,prueba
C0069,19,6,370.74,61.79,171,2,0.6666666666666666,28.5,0,0,0,reciente,prueba
C0070,191,2,131.76,65.88,210,1,0.5,105.0,0,0,1,reciente,prueba
C0071,44,21,1969.04,93.76380952380953,479,3,0.6666666666666666,22.8,0,0,0,veterano,entrena
C0072,32,20,1068.91,53.4455,445,2,0.45,22.2,1,0,0,consolidado,entrena
C0073,66,7,331.51,47.35857142857143,267,3,0.2857142857142857,38.1,0,0,0,consolidado,entrena
C0074,13,7,1359.64,194.23428571428573,158,2,0.5714285714285714,22.6,1,0,0,reciente,prueba
C0075,130,5,838.45,167.69,384,2,0.6,76.8,0,1,0,consolidado,entrena
C0076,55,4,289.16,72.29,250,1,0.0,62.5,0,1,0,reciente,entrena
C0077,8,10,1078.69,107.869,391,2,0.2,39.1,0,1,0,consolidado,entrena
C0078,13,15,1061.4,70.76,462,3,0.2,30.8,0,1,0,veterano,entrena
C0079,22,13,1974.76,151.9046153846154,458,2,0.07692307692307693,35.2,1,0,0,veterano,entrena
C0080,15,13,1368.29,105.25307692307692,531,3,0.5384615384615384,40.8,0,0,0,veterano,entrena
C0081,148,7,619.55,88.50714285714285,312,3,0.14285714285714285,44.6,1,0,1,consolidado,entrena
C0082,16,4,461.89,115.4725,412,2,0.5,103.0,0,0,0,consolidado,entrena
C0083,212,1,91.05,91.05,212,1,1.0,212.0,0,0,1,reciente,prueba
C0084,107,6,388.28999999999996,64.71499999999999,215,2,0.0,35.8,0,0,1,reciente,prueba
C0085,6,24,2808.45,117.01875,334,3,0.7916666666666666,13.9,1,0,0,consolidado,entrena
C0086,32,6,554.31,92.38499999999999,150,2,0.6666666666666666,25.0,0,0,0,reciente,prueba
C0087,66,4,338.88,84.72,167,2,0.0,41.8,1,0,1,reciente,prueba
C0088,211,1,262.79,262.79,211,1,0.0,211.0,1,0,1,reciente,prueba
C0089,18,19,1496.29,78.75210526315789,538,3,0.5789473684210527,28.3,0,1,1,veterano,entrena
C0090,40,10,739.9,73.99,483,2,0.1,48.3,0,1,0,veterano,entrena
C0091,23,7,772.11,110.30142857142857,484,3,0.14285714285714285,69.1,0,1,0,veterano,entrena
C0092,35,11,1063.3,96.66363636363636,285,1,0.7272727272727273,25.9,1,0,0,consolidado,entrena
C0093,46,6,720.71,120.11833333333334,233,3,0.16666666666666666,38.8,0,0,0,reciente,prueba
C0094,148,1,194.3,194.3,148,1,1.0,148.0,1,0,0,reciente,prueba
C0095,23,11,1876.9299999999998,170.63,405,3,0.09090909090909091,36.8,0,1,0,consolidado,entrena
C0096,109,7,363.02,51.86,526,2,0.2857142857142857,75.1,0,1,0,veterano,entrena
C0097,108,9,738.1800000000001,82.02000000000001,444,1,0.3333333333333333,49.3,0,1,1,consolidado,entrena
C0098,84,18,1310.7,72.81666666666666,478,2,0.8888888888888888,26.6,0,0,0,veterano,entrena
C0099,126,6,821.65,136.94166666666666,527,2,0.0,87.8,0,0,1,veterano,entrena
C0100,177,5,407.03,81.40599999999999,291,3,0.0,58.2,0,1,1,consolidado,entrena
C0101,35,9,918.35,102.03888888888889,410,2,0.7777777777777778,45.6,0,1,0,consolidado,entrena
C0102,42,5,462.71999999999997,92.544,235,2,0.2,47.0,0,0,0,reciente,prueba
C0103,46,21,1930.67,91.93666666666667,446,3,0.7619047619047619,21.2,0,0,1,consolidado,entrena
C0104,21,13,967.07,74.39,506,3,0.3076923076923077,38.9,1,0,0,veterano,entrena
C0105,83,5,432.98,86.596,192,1,0.0,38.4,0,0,0,reciente,prueba
C0106,11,10,481.71,48.171,327,3,0.3,32.7,1,0,0,consolidado,entrena
C0107,0,12,1700.85,141.73749999999998,538,3,0.4166666666666667,44.8,0,1,0,veterano,entrena
C0108,11,6,934.6700000000001,155.77833333333334,204,3,0.16666666666666666,34.0,1,0,0,reciente,prueba
C0109,20,4,442.4,110.6,253,2,0.75,63.2,1,0,0,consolidado,entrena
C0110,58,5,415.23,83.046,203,3,0.2,40.6,0,0,0,reciente,prueba
C0111,64,2,149.54,74.77,304,2,0.5,152.0,0,1,0,consolidado,entrena
C0112,10,7,671.03,95.86142857142856,314,3,0.14285714285714285,44.9,0,0,0,consolidado,entrena
C0113,37,9,1206.13,134.01444444444445,424,2,0.5555555555555556,47.1,0,1,0,consolidado,entrena
C0114,99,8,395.22,49.4025,364,3,0.25,45.5,0,1,0,consolidado,entrena
C0115,16,11,626.24,56.93090909090909,250,3,0.45454545454545453,22.7,0,1,0,reciente,entrena
C0116,0,12,964.72,80.39333333333333,515,3,0.0,42.9,1,0,0,veterano,entrena
C0117,118,6,610.71,101.78500000000001,320,2,0.5,53.3,0,1,0,consolidado,entrena
C0118,63,7,1075.05,153.57857142857142,335,2,0.8571428571428571,47.9,1,0,0,consolidado,entrena
C0119,16,10,605.33,60.533,498,3,0.6,49.8,0,0,0,veterano,entrena
C0120,0,17,1875.33,110.3135294117647,516,3,0.7647058823529411,30.4,0,1,0,veterano,entrena
C0121,317,7,540.96,77.28,444,2,0.0,63.4,1,0,1,consolidado,entrena
C0122,4,18,703.84,39.102222222222224,405,3,0.8888888888888888,22.5,1,0,0,consolidado,entrena
C0123,29,9,1325.12,147.23555555555555,342,3,0.5555555555555556,38.0,0,0,0,consolidado,entrena
C0124,2,13,1739.22,133.78615384615384,198,2,0.6153846153846154,15.2,0,1,0,reciente,prueba
C0125,388,2,157.71,78.855,475,2,0.0,237.5,0,1,1,veterano,entrena
C0126,241,5,471.82000000000005,94.364,486,3,0.8,97.2,1,0,1,veterano,entrena
C0127,7,8,810.86,101.3575,350,3,0.375,43.8,1,0,0,consolidado,entrena
C0128,127,11,850.6,77.32727272727273,362,2,0.36363636363636365,32.9,0,1,0,consolidado,entrena
C0129,39,20,1593.28,79.664,485,3,0.95,24.2,0,1,0,veterano,entrena
C0130,31,5,185.33,37.066,166,2,0.6,33.2,0,0,0,reciente,prueba
C0131,28,6,221.62,36.93666666666667,157,2,0.16666666666666666,26.2,0,0,0,reciente,prueba
C0132,114,6,207.04,34.50666666666667,322,2,0.3333333333333333,53.7,1,0,0,consolidado,entrena
C0133,445,3,118.98,39.660000000000004,503,2,0.6666666666666666,167.7,0,0,1,veterano,entrena
C0134,2,9,1223.84,135.98222222222222,289,2,0.6666666666666666,32.1,1,0,0,consolidado,entrena
C0135,28,10,1333.74,133.374,330,3,0.3,33.0,0,0,0,consolidado,entrena
C0136,109,6,380.28999999999996,63.38166666666666,281,3,0.3333333333333333,46.8,0,0,0,consolidado,entrena
C0137,70,10,563.47,56.347,492,3,0.1,49.2,0,0,0,veterano,entrena
C0138,126,4,895.71,223.9275,280,2,0.25,70.0,0,0,0,consolidado,entrena
C0139,14,12,1194.06,99.505,174,3,1.0,14.5,0,0,0,reciente,prueba
C0140,7,14,1098.54,78.46714285714286,198,2,0.07142857142857142,14.1,1,0,0,reciente,prueba
C0141,95,3,84.32000000000001,28.10666666666667,176,2,0.3333333333333333,58.7,0,1,0,reciente,prueba
C0142,15,20,1671.69,83.5845,474,3,0.8,23.7,1,0,0,veterano,entrena
C0143,64,3,232.99,77.66333333333334,264,1,0.0,88.0,0,0,0,consolidado,entrena
C0144,5,28,1675.93,59.854642857142856,438,2,0.5714285714285714,15.6,1,0,0,consolidado,entrena
C0145,15,14,1134.3899999999999,81.02785714285713,529,3,0.2857142857142857,37.8,1,0,0,veterano,entrena
C0146,19,14,833.13,59.50928571428572,358,3,0.21428571428571427,25.6,0,0,0,consolidado,entrena
C0147,60,10,1555.08,155.50799999999998,324,3,1.0,32.4,0,0,0,consolidado,entrena
C0148,40,6,379.61,63.26833333333334,303,3,0.3333333333333333,50.5,0,0,0,consolidado,entrena
C0149,89,11,710.4,64.58181818181818,484,2,0.7272727272727273,44.0,0,1,1,veterano,entrena
C0150,208,2,277.13,138.565,241,1,0.0,120.5,0,1,1,reciente,prueba
C0151,106,8,566.62,70.8275,361,2,0.875,45.1,0,1,0,consolidado,entrena
C0152,199,2,77.55,38.775,205,2,0.5,102.5,0,0,1,reciente,prueba
C0153,477,3,510.96999999999997,170.32333333333332,529,1,0.6666666666666666,176.3,1,0,1,veterano,entrena
C0154,4,8,950.97,118.87125,200,2,0.125,25.0,1,0,0,reciente,prueba
C0155,33,11,1230.94,111.90363636363637,426,2,0.09090909090909091,38.7,0,0,0,consolidado,entrena
C0156,13,8,948.21,118.52625,248,2,0.375,31.0,1,0,1,reciente,entrena
C0157,2,16,1838.8600000000001,114.92875000000001,324,3,0.25,20.2,0,1,0,consolidado,entrena
C0158,12,11,465.37,42.306363636363635,368,2,0.36363636363636365,33.5,0,0,0,consolidado,entrena
C0159,32,13,801.05,61.61923076923077,533,3,0.3076923076923077,41.0,1,0,0,veterano,entrena
C0160,88,3,310.06,103.35333333333334,153,2,0.6666666666666666,51.0,0,0,0,reciente,prueba
C0161,188,1,41.84,41.84,188,1,0.0,188.0,1,0,0,reciente,prueba
C0162,104,7,599.5,85.64285714285714,303,3,0.2857142857142857,43.3,0,0,0,consolidado,entrena
C0163,57,4,254.83,63.7075,187,2,0.25,46.8,1,0,0,reciente,prueba
C0164,44,8,868.45,108.55625,399,3,0.625,49.9,0,1,0,consolidado,entrena
C0165,1,45,3297.92,73.28711111111112,479,3,0.044444444444444446,10.6,1,0,0,veterano,entrena
C0166,180,16,2058.57,128.660625,509,3,0.3125,31.8,0,1,1,veterano,entrena
C0167,12,13,676.2,52.01538461538462,446,3,0.6153846153846154,34.3,0,1,0,consolidado,entrena
C0168,8,16,2185.06,136.56625,437,3,0.0625,27.3,0,0,0,consolidado,entrena
C0169,495,2,113.88,56.94,544,2,1.0,272.0,1,0,1,veterano,entrena
C0170,12,19,647.08,34.05684210526316,456,2,0.47368421052631576,24.0,0,0,0,veterano,entrena
C0171,227,9,759.39,84.37666666666667,476,3,0.4444444444444444,52.9,1,0,1,veterano,entrena
C0172,3,12,947.47,78.95583333333333,376,3,0.3333333333333333,31.3,0,0,0,consolidado,entrena
C0173,22,22,1317.74,59.89727272727273,403,3,0.6818181818181818,18.3,1,0,0,consolidado,entrena
C0174,13,3,196.19,65.39666666666666,252,1,0.0,84.0,1,0,0,consolidado,entrena
C0175,18,8,1283.21,160.40125,185,3,0.5,23.1,0,1,0,reciente,prueba
C0176,23,12,1739.27,144.93916666666667,433,3,0.9166666666666666,36.1,0,0,0,consolidado,entrena
C0177,0,13,857.27,65.94384615384615,225,3,0.46153846153846156,17.3,0,1,0,reciente,prueba
C0178,30,9,618.3199999999999,68.70222222222222,322,3,0.1111111111111111,35.8,0,0,0,consolidado,entrena
C0179,18,12,1788.08,149.00666666666666,404,3,0.4166666666666667,33.7,1,0,0,consolidado,entrena
C0180,92,8,276.94,34.6175,193,3,0.25,24.1,1,0,0,reciente,prueba
C0181,0,7,1093.3600000000001,156.19428571428574,328,3,0.14285714285714285,46.9,0,0,0,consolidado,entrena
C0182,1,23,1218.3,52.9695652173913,446,3,0.9565217391304348,19.4,1,0,0,consolidado,entrena
C0183,121,10,1300.09,130.009,487,3,0.7,48.7,1,0,0,veterano,entrena
C0184,157,8,1033.94,129.2425,527,3,0.875,65.9,0,0,0,veterano,entrena
C0185,151,15,2026.95,135.13,536,2,1.0,35.7,0,0,1,veterano,entrena
C0186,12,17,1883.01,110.76529411764706,435,2,0.47058823529411764,25.6,0,1,0,consolidado,entrena
C0187,8,4,269.73,67.4325,154,2,0.75,38.5,0,0,0,reciente,prueba
C0188,15,6,248.5,41.416666666666664,221,2,0.8333333333333334,36.8,0,1,0,reciente,prueba
C0189,193,15,713.34,47.556000000000004,540,3,0.6,36.0,0,1,1,veterano,entrena
C0190,1,17,733.46,43.144705882352945,491,3,0.29411764705882354,28.9,0,0,1,veterano,entrena
C0191,9,14,1776.3799999999999,126.88428571428571,169,3,0.35714285714285715,12.1,0,0,0,reciente,prueba
C0192,110,23,1011.71,43.98739130434783,439,3,0.2608695652173913,19.1,1,0,1,consolidado,entrena
C0193,21,5,412.06,82.412,256,3,0.2,51.2,0,1,0,consolidado,entrena
C0194,38,3,654.34,218.11333333333334,247,2,0.3333333333333333,82.3,1,0,0,reciente,entrena
C0195,32,40,7430.81,185.77025,544,3,0.75,13.6,0,0,0,veterano,entrena
C0196,31,24,2073.5,86.39583333333333,328,3,0.4583333333333333,13.7,1,0,0,consolidado,entrena
C0197,22,5,369.73,73.946,363,1,0.8,72.6,0,0,0,consolidado,entrena
C0198,42,4,777.6800000000001,194.42000000000002,198,3,1.0,49.5,0,0,0,reciente,prueba
C0199,122,4,277.08,69.27,228,3,0.25,57.0,1,0,1,reciente,prueba
C0200,3,8,473.22,59.1525,547,2,0.5,68.4,0,1,0,veterano,entrena
C0201,259,4,495.75,123.9375,547,3,0.75,136.8,1,0,0,veterano,entrena
C0202,37,8,1878.57,234.82125,257,2,0.875,32.1,0,0,0,consolidado,entrena
C0203,7,31,4014.9,129.51290322580647,529,3,0.6774193548387096,17.1,0,1,0,veterano,entrena
C0204,120,14,2205.86,157.5614285714286,430,3,0.9285714285714286,30.7,0,0,0,consolidado,entrena
C0205,117,8,832.32,104.04,516,2,0.5,64.5,0,1,1,veterano,entrena
C0206,134,4,589.44,147.36,251,1,0.5,62.8,1,0,0,consolidado,entrena
C0207,68,5,309.77,61.95399999999999,212,2,0.8,42.4,0,0,0,reciente,prueba
C0208,52,12,605.47,50.45583333333334,255,2,0.5,21.2,1,0,0,consolidado,entrena
C0209,21,10,928.89,92.889,493,3,0.2,49.3,0,0,0,veterano,entrena
C0210,9,10,465.35,46.535000000000004,270,3,0.7,27.0,0,0,0,consolidado,entrena
C0211,109,6,976.52,162.75333333333333,303,3,0.5,50.5,0,0,1,consolidado,entrena
C0212,51,14,1102.23,78.73071428571428,452,2,0.6428571428571429,32.3,0,1,0,veterano,entrena
C0213,304,6,1098.51,183.085,528,2,0.5,88.0,0,1,1,veterano,entrena
C0214,100,14,955.6,68.25714285714285,428,3,0.7142857142857143,30.6,1,0,0,consolidado,entrena
C0215,2,25,966.76,38.6704,395,3,0.6,15.8,1,0,0,consolidado,entrena
C0216,84,3,166.7,55.56666666666666,229,2,0.3333333333333333,76.3,0,1,1,reciente,prueba
C0217,40,7,288.07,41.152857142857144,467,3,0.8571428571428571,66.7,0,0,0,veterano,entrena
C0218,172,12,795.47,66.28916666666667,380,3,0.5,31.7,1,0,0,consolidado,entrena
C0219,6,28,1685.68,60.20285714285715,441,3,0.6428571428571429,15.8,0,0,0,consolidado,entrena
C0220,216,7,498.7,71.24285714285715,488,2,0.5714285714285714,69.7,0,0,0,veterano,entrena
C0221,38,10,440.89,44.089,425,3,0.3,42.5,1,0,0,consolidado,entrena
C0222,165,6,1269.3799999999999,211.5633333333333,339,2,1.0,56.5,1,0,1,consolidado,entrena
C0223,2,21,2024.25,96.39285714285714,470,3,0.6666666666666666,22.4,1,0,0,veterano,entrena
C0224,209,6,284.78000000000003,47.46333333333334,544,2,0.3333333333333333,90.7,1,0,0,veterano,entrena
C0225,5,11,1626.54,147.86727272727273,415,3,0.18181818181818182,37.7,1,0,0,consolidado,entrena
C0226,7,4,276.1,69.025,251,2,0.5,62.8,0,0,0,consolidado,entrena
C0227,13,8,1170.59,146.32375,249,3,0.625,31.1,1,0,0,reciente,entrena
C0228,2,12,1295.4,107.95,209,3,0.9166666666666666,17.4,0,1,0,reciente,prueba
C0229,0,14,612.09,43.72071428571429,537,2,0.6428571428571429,38.4,1,0,0,veterano,entrena
C0230,3,10,497.83,49.783,517,3,0.6,51.7,1,0,0,veterano,entrena
C0231,10,12,630.11,52.509166666666665,289,3,0.8333333333333334,24.1,0,0,0,consolidado,entrena
C0232,15,15,826.8,55.12,278,3,0.8,18.5,0,0,0,consolidado,entrena
C0233,19,12,1105.82,92.15166666666666,392,3,0.4166666666666667,32.7,0,1,0,consolidado,entrena
C0234,39,9,1240.43,137.82555555555555,541,3,0.3333333333333333,60.1,0,0,1,veterano,entrena
C0235,220,3,241.12,80.37333333333333,321,2,0.6666666666666666,107.0,0,0,1,consolidado,entrena
C0236,52,2,152.2,76.1,479,2,0.0,239.5,0,1,0,veterano,entrena
C0237,43,7,1003.0,143.28571428571428,151,2,0.5714285714285714,21.6,1,0,0,reciente,prueba
C0238,216,11,1071.56,97.41454545454545,429,2,0.6363636363636364,39.0,0,0,1,consolidado,entrena
C0239,0,15,1144.8600000000001,76.32400000000001,458,2,0.2,30.5,0,1,0,veterano,entrena
C0240,32,29,2661.39,91.77206896551724,533,3,0.9310344827586207,18.4,1,0,1,veterano,entrena
C0241,2,9,958.13,106.4588888888889,226,3,0.7777777777777778,25.1,0,1,0,reciente,prueba
C0242,266,3,253.82999999999998,84.61,410,2,0.6666666666666666,136.7,1,0,1,consolidado,entrena
C0243,0,8,1189.96,148.745,236,3,0.5,29.5,0,1,0,reciente,prueba
C0244,56,3,317.79,105.93,183,2,0.6666666666666666,61.0,1,0,0,reciente,prueba
C0245,332,14,1524.87,108.9192857142857,445,3,0.9285714285714286,31.8,0,1,1,consolidado,entrena
C0246,2,11,685.65,62.33181818181818,408,3,1.0,37.1,0,1,0,consolidado,entrena
C0247,137,2,73.24,36.62,203,2,0.5,101.5,0,0,0,reciente,prueba
C0248,45,8,435.58,54.4475,326,2,0.5,40.8,0,0,0,consolidado,entrena
C0249,10,7,1446.49,206.64142857142858,153,2,0.7142857142857143,21.9,0,1,0,reciente,prueba
C0250,175,3,161.01,53.669999999999995,233,1,0.6666666666666666,77.7,1,0,0,reciente,prueba
C0251,92,11,2223.7200000000003,202.15636363636366,547,2,0.5454545454545454,49.7,0,0,0,veterano,entrena
C0252,151,4,506.5,126.625,218,2,0.5,54.5,0,0,1,reciente,prueba
C0253,4,24,2066.04,86.085,325,3,0.5416666666666666,13.5,1,0,0,consolidado,entrena
C0254,176,21,1392.22,66.29619047619047,532,3,0.3333333333333333,25.3,1,0,1,veterano,entrena
C0255,41,15,894.51,59.634,445,3,0.4,29.7,1,0,0,consolidado,entrena
C0256,15,5,297.56,59.512,275,2,0.0,55.0,1,0,0,consolidado,entrena
C0257,17,20,3205.57,160.2785,434,2,0.5,21.7,0,1,1,consolidado,entrena
C0258,1,24,1415.3799999999999,58.97416666666666,394,3,0.7916666666666666,16.4,1,0,0,consolidado,entrena
C0259,37,11,740.9,67.35454545454546,494,3,0.18181818181818182,44.9,1,0,1,veterano,entrena
C0260,71,8,1082.68,135.335,399,3,0.625,49.9,1,0,0,consolidado,entrena
C0261,22,13,1100.47,84.65153846153846,490,3,0.5384615384615384,37.7,0,0,0,veterano,entrena
C0262,0,4,300.14,75.035,159,2,0.25,39.8,0,0,0,reciente,prueba
C0263,167,1,44.22,44.22,167,1,1.0,167.0,0,0,1,reciente,prueba
C0264,169,1,98.5,98.5,169,1,1.0,169.0,0,1,0,reciente,prueba
C0265,34,10,618.61,61.861000000000004,263,2,0.9,26.3,0,1,0,consolidado,entrena
C0266,82,5,270.7,54.14,184,3,0.2,36.8,0,1,0,reciente,prueba
C0267,49,21,2497.0699999999997,118.90809523809523,357,3,0.8095238095238095,17.0,1,0,0,consolidado,entrena
C0268,145,4,216.59,54.1475,236,2,0.75,59.0,0,0,0,reciente,prueba
C0269,9,9,1147.16,127.46222222222224,320,2,0.8888888888888888,35.6,0,1,0,consolidado,entrena
C0270,34,12,1111.97,92.66416666666667,325,3,0.0,27.1,0,1,0,consolidado,entrena
C0271,104,7,403.19,57.598571428571425,476,2,0.5714285714285714,68.0,1,0,0,veterano,entrena
C0272,24,17,2684.07,157.8864705882353,411,2,0.23529411764705882,24.2,0,0,1,consolidado,entrena
C0273,4,3,109.61,36.53666666666667,251,1,1.0,83.7,0,1,1,consolidado,entrena
C0274,16,6,654.98,109.16333333333334,207,3,0.8333333333333334,34.5,1,0,0,reciente,prueba
C0275,168,5,300.32,60.064,386,3,0.2,77.2,1,0,1,consolidado,entrena
C0276,11,21,1760.32,83.8247619047619,344,3,0.3333333333333333,16.4,0,0,0,consolidado,entrena
C0277,21,6,985.0,164.16666666666666,455,2,0.3333333333333333,75.8,1,0,0,veterano,entrena
C0278,8,20,3233.48,161.674,460,3,0.75,23.0,0,0,0,veterano,entrena
C0279,13,9,1135.11,126.12333333333332,434,2,0.3333333333333333,48.2,0,1,0,consolidado,entrena
C0280,10,17,1803.9299999999998,106.1135294117647,361,3,0.7647058823529411,21.2,1,0,0,consolidado,entrena
C0281,30,15,2383.92,158.928,530,3,0.13333333333333333,35.3,1,0,1,veterano,entrena
C0282,69,5,745.69,149.138,289,2,1.0,57.8,0,1,1,consolidado,entrena
C0283,64,17,1129.04,66.41411764705882,524,3,0.7058823529411765,30.8,0,1,0,veterano,entrena
C0284,33,29,2942.41,101.46241379310344,469,3,0.3793103448275862,16.2,0,1,0,veterano,entrena
C0285,72,3,469.83,156.60999999999999,201,2,1.0,67.0,0,0,0,reciente,prueba
C0286,9,10,652.9399999999999,65.294,165,3,0.8,16.5,0,0,0,reciente,prueba
