ID_Transaccion,Fecha,Cliente_ID,Producto,Categoria,Precio_Unitario,Cantidad,Descuento_%,Costo_Envio,Region
T2024-00124,2024-12-29,C0246,Raton ergonomico,Perifericos,42.69,3.0,5.0,0.0,Madrid
T2024-03214,2024-09-05,C0276,Altavoz bluetooth,Audio,72.28,1.0,10.0,4.41,Andalucia
T2024-01088,2024-10-10,C0046,Altavoz bluetooth,Audio,83.3,2.0,5.0,0.0,Cataluna
T2024-03600,2024-12-22,C0161,Altavoz bluetooth,Audio,77.25,2.0,0.0,0.0,Galicia
T2024-02274,2024-11-15,C0506,Disco SSD 1 TB,Almacenamiento,102.24,2.0,0.0,0.0,Madrid
T2024-03665,2024-03-20,C0496,Raton ergonomico,Perifericos,44.9,3.0,30.0,0.0,Madrid
T2024-02680,2024-04-08,C0205,Tablet 10 pulgadas,Telefonia,291.42,1.0,15.0,0.0,Andalucia
T2024-04131,2024-11-20,C0749,Auriculares con cable,Perifericos,30.04,3.0,10.0,6.18,Andalucia
T2024-04988,2024-04-07,C0042,Pulsera de actividad,Vestible,58.22,4.0,0.0,0.0,Comunitat Valenciana
T2024-03960,2024-09-22,C1096,Altavoz bluetooth,Audio,79.91,4.0,10.0,0.0,Cataluna
T2024-04781,2024-04-29,C0005,Auriculares con cable,Perifericos,30.06,5.0,10.0,0.0,Andalucia
T2024-00171,2024-05-31,C0080,Auriculares con cable,Perifericos,33.55,2.0,25.0,4.29,Pais Vasco
T2024-03938,2024-03-08,C0037,Portatil 16 pulgadas,Informatica,1412.37,4.0,25.0,0.0,Comunitat Valenciana
T2024-03216,2024-12-12,C0174,Raton ergonomico,Perifericos,46.38,1.0,25.0,3.43,Pais Vasco
T2024-04404,2024-12-25,C0246,Pulsera de actividad,Vestible,61.41,2.0,15.0,0.0,Madrid
T2024-01640,2024-04-19,C0027,Teclado mecanico,Perifericos,92.09,5.0,0.0,0.0,Pais Vasco
T2024-03219,2024-12-21,C0351,Monitor 27 pulgadas,Informatica,259.08,1.0,0.0,0.0,Comunitat Valenciana
T2024-01092,2024-11-16,C0425,Auriculares inalambricos,Audio,136.78,2.0,20.0,0.0,Andalucia
T2024-03004,2024-01-28,C0296,Tarjeta microSD 256 GB,Almacenamiento,37.78,4.0,0.0,0.0,Comunitat Valenciana
T2024-02612,2024-12-01,C0246,Auriculares con cable,Perifericos,26.75,2.0,0.0,5.96,Comunitat Valenciana
T2024-02197,2024-12-23,C0010,Barra de sonido,Audio,196.86,5.0,0.0,0.0,Pais Vasco
T2024-02855,2024-12-30,C0119,Reloj inteligente,Vestible,208.27,2.0,20.0,0.0,Andalucia
T2024-00281,2024-08-01,C0056,Barra de sonido,Audio,191.81,2.0,35.0,0.0,Comunitat Valenciana
T2024-00462,2024-12-06,C0691,Barra de sonido,Audio,210.09,1.0,5.0,0.0,Comunitat Valenciana
T2024-01518,2024-11-13,C0107,Pulsera de actividad,Vestible,61.32,2.0,0.0,0.0,Andalucia
T2024-04537,2024-11-10,C0013,Disco SSD 1 TB,Almacenamiento,111.38,1.0,30.0,0.0,Cataluna
T2024-00889,2024-08-10,C0157,Altavoz bluetooth,Audio,80.97,1.0,20.0,11.88,Canarias
T2024-00941,2024-12-29,C0095,Auriculares inalambricos,Audio,124.58,3.0,35.0,0.0,Cataluna
T2024-04122,2024-02-18,C0359,Auriculares con cable,Perifericos,29.5,2.0,,11.94,Canarias
T2024-04994,2024-12-02,C0041,Raton ergonomico,Perifericos,47.25,2.0,20.0,6.49,Comunitat Valenciana
T2024-00991,2024-06-21,C0325,Tablet 10 pulgadas,Telefonia,266.41,2.0,25.0,0.0,Cataluna
T2024-02569,2024-02-15,C0002,Pulsera de actividad,Vestible,62.48,2.0,30.0,0.0,Cataluna
T2024-03644,2024-03-02,C0103,Tarjeta microSD 256 GB,Almacenamiento,35.88,4.0,0.0,0.0,Madrid
T2024-04111,2024-12-31,C0007,Reloj inteligente,Vestible,184.26,1.0,0.0,10.6,Canarias
T2024-04345,2024-06-24,C0024,Altavoz bluetooth,Audio,78.14,1.0,0.0,4.34,Comunitat Valenciana
T2024-04209,2024-12-18,C0041,Pulsera de actividad,Vestible,58.52,1.0,0.0,6.44,Cataluna
T2024-04879,2024-01-15,C0426,Tarjeta microSD 256 GB,Almacenamiento,35.26,2.0,0.0,6.81,Andalucia
T2024-04704,2024-09-12,C0764,Camara web 1080p,perifericos,73.8,5.0,15.0,0.0,Cataluna
T2024-01871,2024-06-16,C0002,Auriculares con cable,Perifericos,27.2,3.0,0.0,4.92,Pais Vasco
T2024-02693,2024-12-14,C0010,Tablet 10 pulgadas,Telefonia,294.86,4.0,0.0,0.0,Cataluna
T2024-00247,2024-10-03,C0111,Monitor 27 pulgadas,Informatica,249.67,4.0,20.0,0.0,Cataluna
T2024-04610,2024-12-21,C0041,Portatil 16 pulgadas,Informatica,1425.94,1.0,0.0,0.0,Cataluna
T2024-01006,2024-01-12,C0118,Altavoz bluetooth,Audio,79.83,5.0,10.0,0.0,Comunitat Valenciana
T2024-02642,2024-02-15,C0002,Teclado mecanico,Perifericos,80.6,2.0,15.0,0.0,Galicia
T2024-03120,2024-07-27,C0423,Disco SSD 2 TB,Almacenamiento,169.29,1.0,0.0,0.0,Madrid
T2024-00213,2024-11-05,C0038,Tablet 10 pulgadas,Telefonia,283.32,3.0,0.0,0.0,Galicia
T2024-01771,2024-05-30,C0656,Teclado mecanico,Perifericos,84.9,4.0,20.0,8.22,Canarias
T2024-02109,2024-12-14,C0754,Teclado mecanico,Perifericos,100.99,1.0,0.0,0.0,Galicia
T2024-02320,2024-04-08,C0177,Barra de sonido,Audio,201.14,1.0,15.0,0.0,Comunitat Valenciana
T2024-02178,2024-11-23,C1138,Tarjeta microSD 256 GB,Almacenamiento,-33.96,4.0,0.0,0.0,Andalucia
T2024-01923,2024-12-14,C0142,Teclado mecanico,Perifericos,83.1,1.0,30.0,4.03,Comunitat Valenciana
T2024-00882,2024-01-31,C0161,Tarjeta microSD 256 GB,Almacenamiento,32.3,3.0,15.0,4.09,Andalucia
T2024-01711,2024-09-28,C1014,Raton ergonomico,Perifericos,46.27,1.0,0.0,4.95,Galicia
T2024-03699,2024-04-29,C0002,Auriculares con cable,Perifericos,29.49,250.0,30.0,3.99,Pais Vasco
T2024-00980,2024-08-05,C0003,Reloj inteligente,Vestible,191.73,3.0,0.0,0.0,Comunitat Valenciana
T2024-04525,2024-08-18,C0003,Tarjeta microSD 256 GB,Almacenamiento,32.46,1.0,0.0,4.49,Galicia
T2024-03357,2024-08-11,C0023,Auriculares con cable,Perifericos,25.67,2.0,0.0,2.95,Comunitat Valenciana
T2024-03685,2024-06-17,C0001,Camara web 1080p,Perifericos,72.08,1.0,0.0,5.17,Pais Vasco
T2024-01246,2024-06-24,C1059,Altavoz bluetooth,Audio,83.23,1.0,0.0,3.9,Comunitat Valenciana
T2024-00019,2024-09-30,C0033,Barra de sonido,Audio,208.72,4.0,10.0,0.0,Andalucia
T2024-04786,2024-01-13,C0024,Portatil 14 pulgadas,Informatica,974.56,3.0,0.0,0.0,Andalucia
T2024-02361,2024-12-29,C0201,Teclado mecanico,Perifericos,89.87,4.0,5.0,0.0,Cataluna
T2024-01381,2024-01-01,C0058,Tarjeta microSD 256 GB,Almacenamiento,33.92,3.0,0.0,0.0,Comunitat Valenciana
T2024-03239,2024-10-12,C0033,Teclado mecanico,Perifericos,90.11,4.0,0.0,8.73,Canarias
T2024-02883,2024-11-01,C0736,Barra de sonido,Audio,170.55,4.0,0.0,0.0,Comunitat Valenciana
T2024-03878,2024-10-19,C0665,Movil gama media,Telefonia,354.98,5.0,0.0,0.0,Comunitat Valenciana
T2024-01278,2024-11-12,C1016,Disco SSD 1 TB,Almacenamiento,93.54,1.0,0.0,3.57,Madrid
T2024-03431,2024-04-07,C0231,Raton ergonomico,Perifericos,49.25,1.0,0.0,3.19,Comunitat Valenciana
T2024-04980,2024-11-28,C0745,Disco SSD 1 TB,Almacenamiento,104.12,5.0,30.0,0.0,Comunitat Valenciana
T2024-00505,2024-02-21,C0082,Teclado mecanico,Perifericos,93.69,3.0,0.0,0.0,Pais Vasco
T2024-02167,2024-11-17,C0042,Pulsera de actividad,Vestible,55.49,1.0,0.0,5.42,Pais Vasco
T2024-01144,2024-04-30,C1082,Monitor 27 pulgadas,Informatica,247.6,1.0,0.0,0.0,Cataluna
T2024-01994,2024-03-07,C0010,Teclado mecanico,Perifericos,88.06,5.0,0.0,0.0,Pais Vasco
T2024-04782,2024-06-28,C0024,Disco SSD 2 TB,Almacenamiento,175.63,1.0,5.0,0.0,Cataluna
T2024-01955,2024-03-14,C0858,Reloj inteligente,Vestible,197.41,2.0,0.0,0.0,Comunitat Valenciana
T2024-02941,2024-01-07,C0002,Disco SSD 2 TB,Almacenamiento,166.8,5.0,0.0,0.0,Andalucia
T2024-00105,2024-12-21,C0163,Disco SSD 1 TB,Almacenamiento,104.13,1.0,20.0,0.0,Pais Vasco
T2024-03953,2024-04-17,C0810,Movil gama alta,Telefonia,947.97,2.0,,0.0,Cataluna
T2024-00125,2024-07-09,C0048,Tablet 10 pulgadas,Telefonia,275.63,4.0,0.0,0.0,Madrid
T2024-02225,2024-10-01,C0001,Barra de sonido,Audio,200.68,5.0,0.0,0.0,Pais Vasco
T2024-03052,2024-12-03,C0547,Tarjeta microSD 256 GB,Almacenamiento,29.12,5.0,0.0,0.0,
T2024-02817,2024-04-24,C0270,Monitor 27 pulgadas,Informatica,269.37,1.0,0.0,0.0,Pais Vasco
T2024-01950,2024-04-13,C0626,Barra de sonido,Audio,202.57,1.0,5.0,0.0,Cataluna
T2024-04984,2024-12-18,C0503,Disco SSD 2 TB,Almacenamiento,144.83,2.0,20.0,0.0,Pais Vasco
T2024-02449,2024-12-21,C0378,Movil gama media,Telefonia,358.82,1.0,,0.0,Pais Vasco
T2024-04305,2024-06-29,C0090,Auriculares con cable,Perifericos,30.7,1.0,0.0,5.48,
T2024-00624,2024-12-01,C0637,Teclado mecanico,Perifericos,94.2,2.0,25.0,0.0,Comunitat Valenciana
T2024-D0020,2024-12-18,C0011,Tablet 10 pulgadas,Telefonía,289.13,,0.0,0.0,Galicia
T2024-02856,2024-01-31,C0140,Pulsera de actividad,Vestible,58.84,1.0,0.0,4.85,Comunitat Valenciana
T2024-04918,2024-11-02,C0083,Auriculares inalambricos,Audio,136.7,2.0,10.0,0.0,Comunitat Valenciana
T2024-00235,2024-02-06,C0004,Disco SSD 2 TB,Almacenamiento,153.53,1.0,30.0,0.0,Madrid
T2024-02340,2024-10-10,C0005,Reloj inteligente,Vestible,195.94,1.0,0.0,0.0,Comunitat Valenciana
T2024-03663,2024-04-13,C0539,Auriculares inalambricos,Audio,128.91,5.0,20.0,12.44,Canarias
T2024-03598,2024-03-05,C0001,Barra de sonido,Audio,197.47,5.0,35.0,0.0,Comunitat Valenciana
T2024-00416,2024-06-10,C1107,Auriculares con cable,Perifericos,29.35,2.0,0.0,4.79,Madrid
T2024-01057,2024-11-26,C0002,Disco SSD 1 TB,Almacenamiento,105.72,1.0,20.0,0.0,Andalucia
T2024-00817,2024-06-21,C0033,Reloj inteligente,Vestible,180.05,4.0,20.0,0.0,Cataluna
T2024-03907,2024-08-23,C0084,Teclado mecanico,Perifericos,79.51,2.0,0.0,0.0,Comunitat Valenciana
T2024-04819,2024-01-15,C0201,Altavoz bluetooth,Audio,82.33,2.0,40.0,0.0,Madrid
T2024-03153,2024-02-29,C0057,Tarjeta microSD 256 GB,Almacenamiento,32.79,4.0,30.0,0.0,Cataluna
T2024-00583,2024-12-08,C0025,Raton ergonomico,Perifericos,46.3,5.0,0.0,0.0,Galicia
T2024-01039,2024-03-04,C0630,Camara web 1080p,Perifericos,69.53,,0.0,0.0,Andalucia
T2024-00645,2024-12-20,C0100,Auriculares con cable,Perifericos,28.65,1.0,25.0,6.94,Madrid
T2024-01027,2024-08-02,C0010,Teclado mecanico,Perifericos,93.56,1.0,20.0,6.54,Andalucia
T2024-00013,2024-10-07,C0017,Tarjeta microSD 256 GB,Almacenamiento,32.99,1.0,0.0,5.84,Comunitat Valenciana
T2024-03640,2024-02-21,C0294,Raton ergonomico,Perifericos,49.07,1.0,0.0,5.14,Pais Vasco
T2024-02805,2024-11-22,C0112,Movil gama media,Telefonia,343.41,1.0,0.0,0.0,Galicia
T2024-02851,2024-06-01,C0848,Tarjeta microSD 256 GB,Almacenamiento,33.61,1.0,30.0,3.05,Cataluna
T2024-D0044,2024-12-14,C0535,Teclado mecanico,Perifericos,87.46,1.0,30.0,3.99,Comunitat Valenciana
T2024-00560,2024-01-17,C0005,Teclado mecanico,Perifericos,89.3,4.0,25.0,0.0,Comunitat Valenciana
T2024-01219,2024-05-02,C0415,Camara web 1080p,Perifericos,62.95,3.0,0.0,0.0,Madrid
T2024-04741,2024-12-17,C0001,Teclado mecanico,Perifericos,88.73,1.0,20.0,5.48,Andalucia
T2024-02714,2024-11-03,C0221,Auriculares con cable,Perifericos,25.88,4.0,0.0,0.0,Comunitat Valenciana
T2024-02403,2024-06-01,C0250,Barra de sonido,Audio,212.83,4.0,15.0,0.0,Pais Vasco
T2024-04930,2024-11-30,C0732,Raton ergonomico,Perifericos,41.59,3.0,0.0,0.0,Cataluna
T2024-02367,2024-05-24,C0004,Disco SSD 1 TB,Almacenamiento,97.08,1.0,0.0,6.91,Cataluna
T2024-03544,2024-11-13,C0290,Tablet 10 pulgadas,Telefonia,282.06,5.0,0.0,8.77,Canarias
T2024-01875,2024-05-20,C1170,Camara web 1080p,Perifericos,67.48,1.0,0.0,4.14,Cataluna
T2024-04484,2024-03-31,C0186,Tablet 10 pulgadas,Telefonia,275.24,2.0,0.0,0.0,Cataluna
T2024-01892,2024-09-19,C0001,Reloj inteligente,Vestible,186.7,2.0,0.0,0.0,Galicia
T2024-00917,2024-10-03,C0005,Pulsera de actividad,Vestible,61.16,3.0,0.0,0.0,Comunitat Valenciana
T2024-03363,2024-02-25,C0342,Teclado mecanico,Perifericos,92.71,2.0,30.0,0.0,Cataluna
T2024-01902,2024-12-24,C0443,Movil gama media,Telefonia,318.39,1.0,0.0,0.0,Madrid
T2024-00549,2024-11-02,C0054,Tarjeta microSD 256 GB,Almacenamiento,30.94,,0.0,0.0,Cataluna
T2024-00503,2024-12-13,C0571,Auriculares con cable,Perifericos,30.08,5.0,0.0,0.0,Madrid
T2024-01901,2024-09-04,C0099,Pulsera de actividad,Vestible,67.02,5.0,15.0,0.0,Comunitat Valenciana
T2024-00951,2024-01-26,C0955,Portatil 16 pulgadas,Informatica,1579.32,2.0,20.0,0.0,Comunitat Valenciana
T2024-03048,2024-04-22,C0009,Tarjeta microSD 256 GB,Almacenamiento,35.77,1.0,10.0,3.23,Pais Vasco
T2024-01636,2024-11-03,C0044,Movil gama media,Telefonia,397.57,2.0,0.0,0.0,Andalucia
T2024-03696,2024-09-13,C0010,Tarjeta microSD 256 GB,Almacenamiento,34.19,2.0,0.0,4.86,Pais Vasco
T2024-01765,2024-12-17,C0010,Barra de sonido,Audio,201.29,1.0,0.0,0.0,
T2024-02400,2024-06-14,C0072,Portatil 14 pulgadas,Informatica,953.04,4.0,0.0,0.0,Comunitat Valenciana
T2024-04801,2024-08-15,C0054,Pulsera de actividad,Vestible,56.6,5.0,15.0,0.0,Andalucia
T2024-00973,2024-02-02,C0096,Auriculares con cable,Perifericos,24.59,2.0,0.0,3.9,Cataluna
T2024-00556,2024-07-10,C0205,Camara web 1080p,Perifericos,73.29,1.0,30.0,4.99,Madrid
T2024-04947,2024-05-25,C0683,Tarjeta microSD 256 GB,Almacenamiento,35.97,4.0,0.0,0.0,Cataluna
T2024-00180,2024-01-29,C0080,Auriculares con cable,Perifericos,29.34,2.0,0.0,4.44,Cataluna
T2024-04327,2024-07-10,C0082,Altavoz bluetooth,Audio,74.03,1.0,40.0,6.15,Madrid
T2024-04158,2024-02-22,C0001,Tablet 10 pulgadas,Telefonia,301.3,2.0,0.0,0.0,Pais Vasco
T2024-01505,2024-02-07,C0074,Camara web 1080p,Perifericos,65.1,4.0,0.0,0.0,Andalucia
T2024-00302,2024-11-26,C0017,Tablet 10 pulgadas,Telefonia,271.75,2.0,5.0,0.0,Cataluna
T2024-03450,2024-05-22,C0086,Camara web 1080p,Perifericos,76.03,2.0,0.0,0.0,Pais Vasco
T2024-03144,2024-02-20,C0837,Pulsera de actividad,Vestible,50.47,1.0,0.0,3.04,Madrid
T2024-03599,2024-05-12,C0017,Monitor 27 pulgadas,INFORMATICA,258.9,4.0,0.0,0.0,Comunitat Valenciana
T2024-03217,2024-04-10,C0198,Altavoz bluetooth,Audio,75.71,2.0,10.0,0.0,Madrid
T2024-03131,2024-09-25,C0217,Pulsera de actividad,Vestible,60.54,2.0,0.0,0.0,Pais Vasco
T2024-02315,2024-01-25,C0001,Portatil 16 pulgadas,Informatica,1718.73,4.0,0.0,0.0,Pais Vasco
T2024-00879,2024-12-03,C0821,Auriculares con cable,Perifericos,29.68,1.0,0.0,4.04,Cataluna
T2024-04334,2024-07-27,C0983,Movil gama alta,Telefonia,965.84,4.0,0.0,0.0,Cataluna
T2024-02957,2024-11-23,C0054,Tarjeta microSD 256 GB,Almacenamiento,35.1,5.0,0.0,0.0,Comunitat Valenciana
T2024-03870,2024-12-19,C0052,Teclado mecanico,Perifericos,85.31,1.0,10.0,4.37,Andalucia
T2024-03532,2024-12-08,C0778,Camara web 1080p,Perifericos,66.85,5.0,20.0,0.0,Cataluna
T2024-00490,2024-11-11,C0952,Camara web 1080p,Perifericos,71.89,3.0,0.0,0.0,Andalucia
T2024-01184,2024-04-28,C0013,Auriculares con cable,Perifericos,28.88,3.0,15.0,6.95,Madrid
T2024-00486,2024-08-13,C0691,Raton ergonomico,Perifericos,44.85,4.0,20.0,0.0,Cataluna
