cliente,segmento,gasto_real,gasto_predicho
C0072,consolidado,268.27,283.05
C0073,consolidado,144.33,158.84
C0074,reciente,2942.49,998.25
C0075,consolidado,495.77,455.93
C0076,reciente,217.98,227.5
C0077,consolidado,503.62,547.5
C0078,veterano,770.89,549.83
C0079,veterano,620.99,579.96
C0080,veterano,338.95,329.1
C0081,consolidado,245.83,242.79
C0082,consolidado,272.22,274.09
C0083,reciente,146.39,145.29
C0084,reciente,242.66,265.76
C0085,consolidado,1930.63,1736.59
C0086,reciente,218.63,221.73
C0087,reciente,280.85,318.89
C0088,reciente,96.48,92.08
C0089,veterano,322.94,302.72
C0090,veterano,215.2,235.94
C0091,veterano,292.25,314.58
C0092,consolidado,564.38,520.67
C0093,reciente,635.65,610.24
C0094,reciente,177.41,189.98
C0095,consolidado,862.26,978.08
C0096,veterano,60.98,52.65
C0097,consolidado,266.37,274.96
C0098,veterano,255.9,249.56
C0099,veterano,552.65,563.75
C0100,consolidado,282.7,282.74
C0101,consolidado,591.28,625.22
C0102,reciente,600.91,586.76
C0103,consolidado,463.26,449.91
C0104,veterano,492.45,420.1
C0105,reciente,212.42,238.38
C0106,consolidado,392.92,421.6
C0107,veterano,439.05,439.84
C0108,reciente,953.8,808.08
C0109,consolidado,697.4,639.96
C0110,reciente,429.48,470.79
C0111,consolidado,41.1,42.78
C0112,consolidado,498.2,357.59
C0113,consolidado,540.2,490.46
C0114,consolidado,126.52,130.07
C0115,reciente,500.15,450.18
C0116,veterano,213.65,214.19
C0117,consolidado,602.24,589.1
C0118,consolidado,710.91,780.48
C0119,veterano,175.52,188.44
C0120,veterano,1097.76,1142.54
C0121,consolidado,184.13,166.47
C0122,consolidado,195.49,205.53
C0123,consolidado,742.79,762.68
C0124,reciente,837.24,664.33
C0125,veterano,47.36,45.67
C0126,veterano,259.18,261.24
C0127,consolidado,158.1,146.69
C0128,consolidado,645.07,798.3
C0129,veterano,536.53,435.86
C0130,reciente,245.18,241.79
C0131,reciente,336.59,330.05
C0132,consolidado,74.54,73.13
C0133,veterano,34.95,32.89
C0134,consolidado,875.0,893.66
C0135,consolidado,657.93,657.1
C0136,consolidado,397.78,320.64
C0137,veterano,247.42,253.8
C0138,consolidado,218.52,224.22
C0139,reciente,1417.12,905.17
C0140,reciente,1301.82,1299.56
C0141,reciente,119.76,105.71
C0142,veterano,618.97,729.28
C0143,consolidado,160.26,152.75
C0144,consolidado,906.1,849.38
C0145,veterano,380.73,392.34
C0146,consolidado,403.27,413.84
C0147,consolidado,749.37,642.28
C0148,consolidado,72.77,69.92
C0149,veterano,545.58,520.59
C0150,reciente,225.06,227.76
C0151,consolidado,659.75,563.81
C0152,reciente,51.54,54.05
C0153,veterano,290.15,316.06
C0154,reciente,665.31,775.21
C0155,consolidado,490.55,465.46
C0156,reciente,1256.56,1492.16
C0157,consolidado,1098.66,1460.82
C0158,consolidado,375.99,435.46
C0159,veterano,1003.24,1003.4
C0160,reciente,303.73,344.02
C0161,reciente,16.79,15.47
C0162,consolidado,498.49,506.52
C0163,reciente,156.08,151.05
C0164,consolidado,331.55,319.76
C0165,veterano,1120.75,853.84
C0166,veterano,756.17,523.24
C0167,consolidado,305.54,313.01
C0168,consolidado,283.43,285.53
C0169,veterano,36.82,34.32
C0170,veterano,508.63,449.72
C0171,veterano,179.9,182.57
C0172,consolidado,447.78,461.55
C0173,consolidado,773.82,774.94
C0174,consolidado,62.41,60.56
C0175,reciente,1332.56,1002.85
C0176,consolidado,977.45,1143.58
C0177,reciente,391.48,319.5
C0178,consolidado,256.52,230.41
C0179,consolidado,483.75,494.18
C0180,reciente,479.35,441.62
C0181,consolidado,400.99,447.36
C0182,consolidado,504.39,501.64
C0183,veterano,476.75,451.59
C0184,veterano,356.68,288.39
C0185,veterano,990.09,1084.13
C0186,consolidado,617.81,679.48
C0187,reciente,259.11,259.06
C0188,reciente,150.01,160.74
C0189,veterano,230.12,236.71
C0190,veterano,198.96,196.73
C0191,reciente,3895.37,2289.43
C0192,consolidado,369.43,308.95
C0193,consolidado,135.66,137.33
C0194,reciente,562.94,661.89
C0195,veterano,5397.41,2703.4
C0196,consolidado,1051.13,948.98
C0197,consolidado,150.64,164.74
C0198,reciente,385.97,338.98
C0199,reciente,174.97,169.66
C0200,veterano,150.93,126.62
C0201,veterano,155.24,150.41
C0202,consolidado,2065.94,1936.84
C0203,veterano,2006.29,1705.86
C0204,consolidado,693.24,747.63
C0205,veterano,176.21,207.83
C0206,consolidado,305.72,283.35
C0207,reciente,249.95,235.72
C0208,consolidado,246.76,249.79
C0209,veterano,144.54,152.13
C0210,consolidado,296.35,301.47
C0211,consolidado,486.99,444.0
C0212,veterano,249.71,282.0
C0213,veterano,311.59,320.21
C0214,consolidado,309.16,310.84
C0215,consolidado,383.9,376.96
C0216,reciente,95.17,88.25
C0217,veterano,153.46,149.7
C0218,consolidado,140.53,147.3
C0219,consolidado,395.08,452.59
C0220,veterano,108.16,108.03
C0221,consolidado,172.8,155.98
C0222,consolidado,722.23,763.39
C0223,veterano,606.12,562.63
C0224,veterano,98.31,90.75
C0225,consolidado,659.07,653.06
C0226,consolidado,257.73,221.03
C0227,reciente,1280.2,1098.12
C0228,reciente,600.15,571.7
C0229,veterano,169.26,171.83
C0230,veterano,115.23,122.78
C0231,consolidado,334.57,318.66
C0232,consolidado,330.89,339.8
C0233,consolidado,734.62,555.35
C0234,veterano,543.13,521.68
C0235,consolidado,80.18,84.93
C0236,veterano,73.22,77.88
C0237,reciente,1341.16,1202.57
C0238,consolidado,367.81,325.53
C0239,veterano,728.21,753.32
C0240,veterano,792.85,901.49
C0241,reciente,410.93,402.59
C0242,consolidado,265.84,247.84
C0243,reciente,530.47,530.99
C0244,reciente,737.73,570.7
C0245,consolidado,1474.99,884.89
C0246,consolidado,279.88,270.07
C0247,reciente,35.6,31.18
C0248,consolidado,291.56,261.1
C0249,reciente,1392.19,1465.11
C0250,reciente,113.85,109.75
C0251,veterano,402.05,412.56
C0252,reciente,220.88,200.34
C0253,consolidado,899.78,1179.16
C0254,veterano,314.58,276.86
C0255,consolidado,358.34,399.24
C0256,consolidado,175.24,157.81
C0257,consolidado,1531.34,1543.59
C0258,consolidado,814.43,1039.45
C0259,veterano,223.23,199.77
C0260,consolidado,314.96,335.35
C0261,veterano,468.2,518.45
C0262,reciente,166.15,149.61
C0263,reciente,96.56,97.4
C0264,reciente,94.68,92.72
C0265,consolidado,662.2,613.24
C0266,reciente,396.79,405.64
C0267,consolidado,2047.58,1257.54
C0268,reciente,165.79,180.02
C0269,consolidado,1039.06,1189.77
C0270,consolidado,658.81,824.13
C0271,veterano,325.95,343.09
C0272,consolidado,922.09,916.24
C0273,consolidado,100.79,102.87
C0274,reciente,339.7,350.87
C0275,consolidado,209.01,210.51
C0276,consolidado,1297.42,810.24
C0277,veterano,226.63,245.58
C0278,veterano,1400.64,808.97
C0279,consolidado,323.58,276.38
C0280,consolidado,606.19,693.48
C0281,veterano,474.58,481.51
C0282,consolidado,305.32,245.97
C0283,veterano,390.48,399.58
C0284,veterano,1358.41,1038.25
C0285,reciente,251.59,229.8
C0286,reciente,2309.93,2551.51
C0287,veterano,33.86,30.73
C0288,reciente,161.56,160.89
C0289,reciente,1970.69,1146.27
C0290,reciente,244.58,233.65
C0291,reciente,674.84,612.28
C0292,veterano,109.37,118.86
C0293,consolidado,138.33,148.25
C0294,consolidado,651.8,610.15
C0295,reciente,104.65,99.67
C0296,veterano,472.59,413.45
C0297,consolidado,651.8,658.4
C0298,consolidado,121.87,118.62
C0299,reciente,409.91,385.17
C0300,veterano,240.44,219.83
C0301,consolidado,239.3,230.48
C0302,consolidado,729.87,642.33
C0303,consolidado,137.76,136.36
C0304,consolidado,1163.63,1133.2
C0305,consolidado,475.56,435.96
C0306,consolidado,425.61,314.0
C0307,veterano,839.11,562.35
C0308,consolidado,438.96,436.98
C0309,veterano,90.07,90.92
C0310,reciente,152.13,138.76
C0311,consolidado,336.99,303.79
C0312,veterano,496.85,476.24
C0313,reciente,2111.42,1348.94
C0314,consolidado,515.86,564.08
C0315,consolidado,1106.37,903.31
C0316,veterano,1590.48,1193.36
C0317,consolidado,218.87,195.18
C0318,consolidado,350.21,336.17
C0319,consolidado,1277.17,1039.51
C0320,reciente,127.92,135.62
C0321,veterano,273.27,282.37
C0322,consolidado,236.48,218.32
C0323,veterano,116.39,116.2
C0324,consolidado,163.78,178.17
C0325,consolidado,392.09,353.63
C0326,reciente,192.47,202.5
C0327,reciente,520.48,492.0
C0328,consolidado,678.79,621.03
C0329,veterano,624.67,578.97
C0330,consolidado,181.64,192.2
C0331,consolidado,490.48,523.25
C0332,reciente,658.5,682.21
C0333,reciente,567.05,576.19
C0334,consolidado,492.51,455.24
C0335,reciente,228.0,200.55
C0336,consolidado,380.09,381.61
C0337,consolidado,1082.6,687.69
C0338,consolidado,193.18,212.09
C0339,veterano,194.23,185.63
C0340,veterano,88.41,80.54
C0341,consolidado,335.83,323.21
C0342,veterano,377.8,370.06
C0343,consolidado,277.12,249.16
C0344,consolidado,866.29,714.84
C0345,consolidado,706.43,588.75
C0346,consolidado,468.35,467.89
C0347,veterano,192.96,175.26
C0348,reciente,255.26,234.32
C0349,consolidado,229.89,217.75
C0350,consolidado,526.79,528.49
C0351,consolidado,468.73,371.69
C0352,consolidado,340.28,291.51
C0353,consolidado,235.92,236.77
C0354,reciente,1423.27,1370.2
C0355,consolidado,168.88,160.98
C0356,consolidado,452.36,466.1
C0357,veterano,300.38,303.01
C0358,reciente,1264.66,802.69
C0359,consolidado,249.41,252.06
C0360,reciente,79.54,74.88
C0361,consolidado,188.06,196.38
C0362,consolidado,372.37,398.32
C0363,veterano,74.16,68.12
C0364,reciente,123.01,114.74
C0365,veterano,963.05,772.29
C0366,reciente,623.1,601.98
C0367,veterano,71.02,71.14
C0368,consolidado,193.85,201.34
C0369,reciente,414.75,430.98
C0370,consolidado,634.85,729.53
C0371,veterano,370.33,425.65
C0372,veterano,686.44,592.38
C0373,reciente,431.44,400.24
C0374,consolidado,246.95,244.01
C0375,consolidado,129.03,126.66
C0376,consolidado,1113.9,893.27
C0377,consolidado,510.49,458.28
C0378,consolidado,646.74,601.33
C0379,reciente,301.42,302.93
C0380,consolidado,612.98,565.96
C0381,reciente,919.55,757.72
C0382,consolidado,63.09,58.6
C0383,veterano,146.64,154.75
C0384,reciente,1064.51,802.88
C0385,veterano,1474.12,1566.52
C0386,veterano,200.93,180.54
C0387,veterano,108.4,111.71
C0388,veterano,565.38,573.54
C0389,consolidado,1391.24,810.38
C0390,consolidado,344.8,371.67
C0391,consolidado,505.91,466.03
C0392,reciente,276.34,278.83
C0393,reciente,583.06,573.47
C0394,consolidado,885.13,1093.69
C0395,consolidado,302.13,263.88
C0396,veterano,1070.26,631.39
C0397,veterano,225.22,220.54
C0398,veterano,831.46,738.59
C0399,veterano,1163.49,1109.68
C0400,consolidado,44.99,48.12
