cliente,segmento,recencia_dias,frecuencia,antiguedad_dias,monetario,abandona,puntuacion,puntuacion_modelo_b
C0070,reciente,191,2,210,131.76,1,0.510587,0.754031
C0071,veterano,44,21,479,1969.04,0,0.142155,0.440717
C0072,consolidado,32,20,445,1068.91,0,0.132281,0.427592
C0073,consolidado,66,7,267,331.51,0,0.157455,0.460051
C0074,reciente,13,7,158,1359.64,0,0.043528,0.268093
C0075,consolidado,130,5,384,838.45,0,0.410621,0.68809
C0076,reciente,55,4,250,289.16,0,0.176147,0.482244
C0077,consolidado,8,10,391,1078.69,0,0.083882,0.353135
C0078,veterano,13,15,462,1061.4,0,0.088964,0.361967
C0079,veterano,22,13,458,1974.76,0,0.152739,0.454212
C0080,veterano,15,13,531,1368.29,0,0.083922,0.353206
C0081,consolidado,148,7,312,619.55,1,0.580484,0.795778
C0082,consolidado,16,4,412,461.89,0,0.043369,0.26768
C0083,reciente,212,1,212,91.05,1,0.363672,0.65388
C0084,reciente,107,6,215,388.29,1,0.350696,0.643978
C0085,consolidado,6,24,334,2808.45,0,0.051401,0.28748
C0086,reciente,32,6,150,554.31,0,0.070517,0.32831
C0087,reciente,66,4,167,338.88,1,0.352213,0.645146
C0088,reciente,211,1,211,262.79,1,0.257056,0.565213
C0089,veterano,18,19,538,1496.29,1,0.092893,0.368598
C0090,veterano,40,10,483,739.9,0,0.180965,0.487741
C0091,veterano,23,7,484,772.11,0,0.086437,0.357613
C0092,consolidado,35,11,285,1063.3,0,0.115509,0.403923
C0093,reciente,46,6,233,720.71,0,0.072233,0.331642
C0094,reciente,148,1,148,194.3,0,0.322217,0.621473
C0095,consolidado,23,11,405,1876.93,0,0.111287,0.397656
C0096,veterano,109,7,526,363.02,0,0.435267,0.705143
C0097,consolidado,108,9,444,738.18,1,0.502018,0.74869
C0098,veterano,84,18,478,1310.7,0,0.288447,0.593236
C0099,veterano,126,6,527,821.65,1,0.549948,0.77792
C0100,consolidado,177,5,291,407.03,1,0.708149,0.865072
C0101,consolidado,35,9,410,918.35,0,0.098399,0.377621
C0102,reciente,42,5,235,462.72,0,0.157206,0.459745
C0103,consolidado,46,21,446,1930.67,1,0.131576,0.426632
C0104,veterano,21,13,506,967.07,0,0.101414,0.382438
C0105,reciente,83,5,192,432.98,0,0.182636,0.489628
C0106,consolidado,11,10,327,481.71,0,0.059161,0.304968
C0107,veterano,0,12,538,1700.85,0,0.067812,0.322959
C0108,reciente,11,6,204,934.67,0,0.032502,0.237138
C0109,consolidado,20,4,253,442.4,0,0.042736,0.266032
C0110,reciente,58,5,203,415.23,0,0.075313,0.337509
C0111,consolidado,64,2,304,149.54,0,0.057451,0.301235
C0112,consolidado,10,7,314,671.03,0,0.057665,0.301705
C0113,consolidado,37,9,424,1206.13,0,0.121922,0.413194
C0114,consolidado,99,8,364,395.22,0,0.317014,0.617238
C0115,reciente,16,11,250,626.24,0,0.055257,0.296348
C0116,veterano,0,12,515,964.72,0,0.07956,0.345376
C0117,consolidado,118,6,320,610.71,0,0.391103,0.674159
C0118,consolidado,63,7,335,1075.05,0,0.138651,0.436122
C0119,veterano,16,10,498,605.33,0,0.067195,0.321722
C0120,veterano,0,17,516,1875.33,0,0.05732,0.300945
C0121,consolidado,317,7,444,540.96,1,0.989912,0.995751
C0122,consolidado,4,18,405,703.84,0,0.040333,0.259643
C0123,consolidado,29,9,342,1325.12,0,0.077543,0.34167
C0124,reciente,2,13,198,1739.22,0,0.083357,0.352206
C0125,veterano,388,2,475,157.71,1,0.986864,0.994462
C0126,veterano,241,5,486,471.82,1,0.858399,0.937885
C0127,consolidado,7,8,350,810.86,0,0.050938,0.286389
C0128,consolidado,127,11,362,850.6,0,0.537541,0.7705
C0129,veterano,39,20,485,1593.28,0,0.104308,0.386985
C0130,reciente,31,5,166,185.33,0,0.08075,0.347536
C0131,reciente,28,6,157,221.62,0,0.05771,0.301805
C0132,consolidado,114,6,322,207.04,0,0.396394,0.677974
C0133,veterano,445,3,503,118.98,1,0.997583,0.998984
C0134,consolidado,2,9,289,1223.84,0,0.047431,0.277938
C0135,consolidado,28,10,330,1333.74,0,0.091309,0.365945
C0136,consolidado,109,6,281,380.29,0,0.312696,0.613693
C0137,veterano,70,10,492,563.47,0,0.255248,0.563539
C0138,consolidado,126,4,280,895.71,0,0.397553,0.678806
C0139,reciente,14,12,174,1194.06,0,0.0138,0.165482
C0140,reciente,7,14,198,1098.54,0,0.148335,0.448665
C0141,reciente,95,3,176,84.32,0,0.249928,0.558576
C0142,veterano,15,20,474,1671.69,0,0.069331,0.325979
C0143,consolidado,64,3,264,232.99,0,0.169351,0.474341
C0144,consolidado,5,28,438,1675.93,0,0.069651,0.326611
C0145,veterano,15,14,529,1134.39,0,0.0971,0.375519
C0146,consolidado,19,14,358,833.13,0,0.082749,0.351124
C0147,consolidado,60,10,324,1555.08,0,0.114004,0.401705
C0148,consolidado,40,6,303,379.61,0,0.088086,0.360463
C0149,veterano,89,11,484,710.4,1,0.308273,0.610032
C0150,reciente,208,2,241,277.13,1,0.60605,0.810314
C0151,consolidado,106,8,361,566.62,0,0.309229,0.610826
C0152,reciente,199,2,205,77.55,1,0.693408,0.857463
C0153,veterano,477,3,529,510.97,1,0.998961,0.999
C0154,reciente,4,8,200,950.97,0,0.028221,0.223479
C0155,consolidado,33,11,426,1230.94,0,0.16036,0.463597
C0156,reciente,13,8,248,948.21,1,0.330957,0.628498
C0157,consolidado,2,16,324,1838.86,0,0.060964,0.308839
C0158,consolidado,12,11,368,465.37,0,0.076976,0.34062
C0159,veterano,32,13,533,801.05,0,0.128817,0.422852
C0160,reciente,88,3,153,310.06,0,0.041081,0.261656
C0161,reciente,188,1,188,41.84,0,0.419763,0.694484
C0162,consolidado,104,7,303,599.5,0,0.314645,0.615297
C0163,reciente,57,4,187,254.83,0,0.060611,0.308086
C0164,consolidado,44,8,399,868.45,0,0.098904,0.378434
C0165,veterano,1,45,479,3297.92,0,0.077636,0.341844
C0166,veterano,180,16,509,2058.57,1,0.831679,0.925511
C0167,consolidado,12,13,446,676.2,0,0.061233,0.30941
C0168,consolidado,8,16,437,2185.06,0,0.097554,0.376255
C0169,veterano,495,2,544,113.88,1,0.997077,0.998771
C0170,veterano,12,19,456,647.08,0,0.084151,0.353611
C0171,veterano,227,9,476,759.39,1,0.899492,0.956487
C0172,consolidado,3,12,376,947.47,0,0.056167,0.298389
C0173,consolidado,22,22,403,1317.74,0,0.071429,0.330087
C0174,consolidado,13,3,252,196.19,0,0.061788,0.310585
C0175,reciente,18,8,185,1283.21,0,0.11935,0.409512
C0176,consolidado,23,12,433,1739.27,0,0.069,0.325324
C0177,reciente,0,13,225,857.27,0,0.060533,0.307918
C0178,consolidado,30,9,322,618.32,0,0.097709,0.376506
C0179,consolidado,18,12,404,1788.08,0,0.082944,0.351471
C0180,reciente,92,8,193,276.94,0,0.37976,0.665876
C0181,consolidado,0,7,328,1093.36,0,0.047806,0.278858
C0182,consolidado,1,23,446,1218.3,0,0.039996,0.258731
C0183,veterano,121,10,487,1300.09,0,0.431954,0.702884
C0184,veterano,157,8,527,1033.94,0,0.577223,0.793897
C0185,veterano,151,15,536,2026.95,1,0.673968,0.847283
C0186,consolidado,12,17,435,1883.01,0,0.097144,0.37559
C0187,reciente,8,4,154,269.73,0,0.196477,0.504883
C0188,reciente,15,6,221,248.5,0,0.032842,0.238177
C0189,veterano,193,15,540,713.34,1,0.824782,0.922279
C0190,veterano,1,17,491,733.46,1,0.065463,0.318214
C0191,reciente,9,14,169,1776.38,0,0.132286,0.427598
C0192,consolidado,110,23,439,1011.71,1,0.432112,0.702992
C0193,consolidado,21,5,256,412.06,0,0.057966,0.302365
C0194,reciente,38,3,247,654.34,0,0.193344,0.501486
C0195,veterano,32,40,544,7430.81,0,0.222382,0.531841
C0196,consolidado,31,24,328,2073.5,0,0.095183,0.372388
C0197,consolidado,22,5,363,369.73,0,0.063065,0.313264
C0198,reciente,42,4,198,777.68,0,0.06327,0.313692
C0199,reciente,122,4,228,277.08,1,0.182843,0.489861
C0200,veterano,3,8,547,473.22,0,0.06353,0.314232
C0201,veterano,259,4,547,495.75,0,0.873669,0.944856
C0202,consolidado,37,8,257,1878.57,0,0.084167,0.353639
C0203,veterano,7,31,529,4014.9,0,0.091179,0.365726
C0204,consolidado,120,14,430,2205.86,0,0.419517,0.694312
C0205,veterano,117,8,516,832.32,1,0.470051,0.728284
C0206,consolidado,134,4,251,589.44,0,0.466422,0.725918
C0207,reciente,68,5,212,309.77,0,0.13488,0.4311
C0208,consolidado,52,12,255,605.47,0,0.140202,0.438164
C0209,veterano,21,10,493,928.89,0,0.098537,0.377843
C0210,consolidado,9,10,270,465.35,0,0.040432,0.259912
C0211,consolidado,109,6,303,976.52,1,0.291823,0.596143
C0212,veterano,51,14,452,1102.23,0,0.173726,0.47945
C0213,veterano,304,6,528,1098.51,1,0.979779,0.991457
C0214,consolidado,100,14,428,955.6,0,0.311379,0.612607
C0215,consolidado,2,25,395,966.76,0,0.0441,0.269565
C0216,reciente,84,3,229,166.7,1,0.091766,0.366713
C0217,veterano,40,7,467,288.07,0,0.075392,0.337658
C0218,consolidado,172,12,380,795.47,0,0.705319,0.863619
C0219,consolidado,6,28,441,1685.68,0,0.054817,0.295355
C0220,veterano,216,7,488,498.7,0,0.873802,0.944917
C0221,consolidado,38,10,425,440.89,0,0.115796,0.404345
C0222,consolidado,165,6,339,1269.38,1,0.571372,0.790507
C0223,veterano,2,21,470,2024.25,0,0.059738,0.306214
C0224,veterano,209,6,544,284.78,0,0.863842,0.940378
C0225,consolidado,5,11,415,1626.54,0,0.0717,0.330611
C0226,consolidado,7,4,251,276.1,0,0.038684,0.255131
C0227,reciente,13,8,249,1170.59,0,0.189085,0.496817
C0228,reciente,2,12,209,1295.4,0,0.027165,0.219928
C0229,veterano,0,14,537,612.09,0,0.066625,0.320573
C0230,veterano,3,10,517,497.83,0,0.051648,0.28806
C0231,consolidado,10,12,289,630.11,0,0.039955,0.25862
C0232,consolidado,15,15,278,826.8,0,0.045638,0.273474
C0233,consolidado,19,12,392,1105.82,0,0.077505,0.3416
C0234,veterano,39,9,541,1240.43,1,0.133639,0.429429
C0235,consolidado,220,3,321,241.12,1,0.76099,0.891619
C0236,veterano,52,2,479,152.2,0,0.03581,0.246992
C0237,reciente,43,7,151,1003.0,0,0.047007,0.27689
C0238,consolidado,216,11,429,1071.56,1,0.889917,0.952197
C0239,veterano,0,15,458,1144.86,0,0.084655,0.354499
C0240,veterano,32,29,533,2661.39,1,0.107491,0.391901
C0241,reciente,2,9,226,958.13,0,0.096782,0.375002
C0242,consolidado,266,3,410,253.83,1,0.888343,0.951489
C0243,reciente,0,8,236,1189.96,0,0.073396,0.333873
C0244,reciente,56,3,183,317.79,0,0.125641,0.418442
C0245,consolidado,332,14,445,1524.87,1,0.987952,0.994922
C0246,consolidado,2,11,408,685.65,0,0.035203,0.245224
C0247,reciente,137,2,203,73.24,0,0.335062,0.63176
C0248,consolidado,45,8,326,435.58,0,0.12285,0.414512
C0249,reciente,10,7,153,1446.49,0,0.12696,0.420281
C0250,reciente,175,3,233,161.01,0,0.475603,0.731885
C0251,veterano,92,11,547,2223.72,0,0.40976,0.687484
C0252,reciente,151,4,218,506.5,1,0.160777,0.464102
C0253,consolidado,4,24,325,2066.04,0,0.050819,0.286109
C0254,veterano,176,21,532,1392.22,1,0.806925,0.91384
C0255,consolidado,41,15,445,894.51,0,0.131887,0.427056
C0256,consolidado,15,5,275,297.56,0,0.072909,0.332941
C0257,consolidado,17,20,434,3205.57,1,0.125552,0.418317
C0258,consolidado,1,24,394,1415.38,0,0.041319,0.262291
C0259,veterano,37,11,494,740.9,1,0.139388,0.437094
C0260,consolidado,71,8,399,1082.68,0,0.170064,0.475179
C0261,veterano,22,13,490,1100.47,0,0.088728,0.361565
C0262,reciente,0,4,159,300.14,0,0.051699,0.28818
C0263,reciente,167,1,167,44.22,1,0.117515,0.406855
C0264,reciente,169,1,169,98.5,0,0.130148,0.424682
C0265,consolidado,34,10,263,618.61,0,0.07578,0.338386
C0266,reciente,82,5,184,270.7,0,0.055643,0.297215
C0267,consolidado,49,21,357,2497.07,0,0.126682,0.419895
C0268,reciente,145,4,236,216.59,0,0.207822,0.516929
C0269,consolidado,9,9,320,1147.16,0,0.048909,0.281542
C0270,consolidado,34,12,325,1111.97,0,0.125173,0.417787
C0271,veterano,104,7,476,403.19,0,0.351499,0.644597
C0272,consolidado,24,17,411,2684.07,1,0.152025,0.453319
C0273,consolidado,4,3,251,109.61,1,0.026459,0.21751
C0274,reciente,16,6,207,654.98,0,0.055913,0.297821
C0275,consolidado,168,5,386,300.32,1,0.63659,0.82722
C0276,consolidado,11,21,344,1760.32,0,0.069152,0.325625
C0277,veterano,21,6,455,985.0,0,0.079822,0.345853
C0278,veterano,8,20,460,3233.48,0,0.075769,0.338366
C0279,consolidado,13,9,434,1135.11,0,0.08661,0.357914
C0280,consolidado,10,17,361,1803.93,0,0.054344,0.294283
C0281,veterano,30,15,530,2383.92,1,0.167843,0.472562
C0282,consolidado,69,5,289,745.69,1,0.115806,0.404359
C0283,veterano,64,17,524,1129.04,0,0.197017,0.505466
C0284,veterano,33,29,469,2942.41,0,0.143189,0.442061
C0285,reciente,72,3,201,469.83,0,0.091866,0.36688
C0286,reciente,9,10,165,652.94,0,0.237872,0.547097
C0287,veterano,301,3,455,114.89,1,0.964364,0.984875
C0288,reciente,23,4,172,175.19,0,0.058372,0.303255
C0289,reciente,4,14,227,1796.07,0,0.02075,0.196404
C0290,reciente,53,4,157,258.41,0,0.089051,0.362116
C0291,reciente,10,12,239,1116.69,0,0.223522,0.532984
C0292,veterano,437,3,537,419.06,1,0.99745,0.998928
C0293,consolidado,235,5,329,313.51,1,0.850974,0.934469
C0294,consolidado,34,23,431,2227.15,0,0.120336,0.410929
C0295,reciente,75,2,158,144.84,0,0.289166,0.593857
C0296,veterano,17,26,498,2486.14,0,0.10558,0.388959
C0297,consolidado,5,14,411,1358.95,0,0.088382,0.360971
C0298,consolidado,19,8,357,704.78,0,0.065857,0.319015
C0299,reciente,20,4,221,686.78,0,0.078288,0.343046
C0300,veterano,4,12,501,578.48,0,0.047115,0.277157
C0301,consolidado,6,9,297,334.66,0,0.052386,0.289781
C0302,consolidado,87,9,274,900.56,1,0.342195,0.637375
C0303,consolidado,68,12,429,621.88,0,0.193708,0.501882
C0304,consolidado,7,24,421,2654.37,0,0.105821,0.389332
C0305,consolidado,73,7,335,625.91,0,0.160669,0.463972
C0306,consolidado,27,16,382,740.04,0,0.105471,0.388791
C0307,veterano,1,17,514,1685.33,0,0.066413,0.320144
C0308,consolidado,111,6,405,987.67,0,0.338755,0.634676
C0309,veterano,314,6,474,423.28,1,0.983202,0.99291
C0310,reciente,177,2,220,196.08,0,0.305154,0.607432
C0311,consolidado,84,5,288,516.71,0,0.196781,0.505212
C0312,veterano,57,10,465,1067.4,0,0.166949,0.471504
C0313,reciente,21,8,161,995.85,0,0.113669,0.401207
C0314,consolidado,13,26,440,1536.73,0,0.085459,0.355909
C0315,consolidado,145,8,336,1401.12,1,0.526365,0.763731
C0316,veterano,46,15,536,2259.84,0,0.171877,0.4773
C0317,consolidado,100,8,280,379.49,0,0.267875,0.575084
C0318,consolidado,36,6,345,1064.86,0,0.102944,0.384851
C0319,consolidado,59,14,350,2085.2,0,0.130096,0.424611
C0320,reciente,135,4,212,248.6,0,0.250084,0.558722
C0321,veterano,33,11,468,882.86,0,0.163356,0.467215
C0322,consolidado,130,3,357,390.38,1,0.277193,0.583403
C0323,veterano,222,5,518,210.37,1,0.89841,0.956003
C0324,consolidado,4,7,355,864.42,0,0.039624,0.257717
C0325,consolidado,52,9,362,633.64,0,0.147468,0.447561
C0326,reciente,43,3,175,388.9,0,0.053723,0.292865
C0327,reciente,13,7,204,781.19,0,0.054048,0.293607
C0328,consolidado,28,7,316,1366.41,0,0.072045,0.331278
C0329,veterano,250,10,469,1289.3,1,0.945572,0.976769
C0330,consolidado,7,6,268,556.76,0,0.04814,0.279674
C0331,consolidado,125,7,356,956.71,0,0.366664,0.656134
C0332,reciente,26,11,234,838.15,0,0.076082,0.338953
C0333,reciente,1,7,188,465.52,0,0.070302,0.327888
C0334,consolidado,23,14,312,1181.12,0,0.108186,0.392964
C0335,reciente,75,6,237,362.15,0,0.47067,0.728687
C0336,consolidado,37,9,396,686.64,0,0.1064,0.390226
C0337,consolidado,70,6,295,757.53,0,0.193959,0.502156
C0338,consolidado,23,9,373,410.19,0,0.057095,0.30045
C0339,veterano,295,5,453,533.82,1,0.97407,0.989027
C0340,veterano,5,11,471,346.36,1,0.072131,0.331444
C0341,consolidado,9,10,293,462.69,0,0.067685,0.322705
C0342,veterano,42,21,506,1556.26,0,0.151274,0.452377
C0343,consolidado,78,7,353,454.51,0,0.231983,0.541367
C0344,consolidado,106,6,253,700.31,1,0.346832,0.640988
C0345,consolidado,53,5,255,580.04,0,0.098892,0.378415
C0346,consolidado,1,7,354,1115.91,0,0.056664,0.299495
C0347,veterano,61,12,451,1018.24,0,0.164871,0.46903
C0348,reciente,16,5,245,272.31,0,0.247496,0.556286
C0349,consolidado,151,5,292,469.31,1,0.585648,0.798744
C0350,consolidado,145,11,405,747.25,0,0.545221,0.775105
C0351,consolidado,48,9,354,1178.42,0,0.140571,0.438648
C0352,consolidado,49,10,438,1154.67,0,0.12134,0.412365
C0353,consolidado,75,6,348,593.47,0,0.197635,0.50613
C0354,reciente,14,14,189,1534.27,0,0.075851,0.33852
C0355,consolidado,77,4,303,307.25,0,0.160571,0.463852
C0356,consolidado,10,25,361,1231.63,0,0.065058,0.317386
C0357,veterano,137,16,541,727.3,1,0.582453,0.796911
C0358,reciente,20,10,175,992.99,0,0.02487,0.211925
C0359,consolidado,15,18,409,1183.84,0,0.07116,0.329563
C0360,reciente,158,2,200,175.52,1,0.311632,0.612816
C0361,consolidado,111,8,276,320.13,1,0.281051,0.586799
C0362,consolidado,14,11,389,739.38,0,0.047567,0.278272
C0363,veterano,3,7,528,256.32,0,0.059453,0.3056
C0364,reciente,8,2,212,282.64,0,0.077297,0.341215
C0365,veterano,7,22,457,3257.37,0,0.086386,0.357526
C0366,reciente,93,5,235,640.38,1,0.149439,0.450064
C0367,veterano,155,3,457,187.13,1,0.380449,0.666384
C0368,consolidado,346,2,362,553.53,0,0.961856,0.983799
C0369,reciente,75,5,150,455.29,0,0.073944,0.334919
C0370,consolidado,13,9,312,1072.4,0,0.045247,0.272489
C0371,veterano,21,13,537,1298.72,1,0.120782,0.411567
C0372,veterano,16,14,476,1740.85,0,0.065146,0.317565
C0373,reciente,51,7,186,851.87,0,0.038582,0.254848
C0374,consolidado,23,12,412,954.54,0,0.105405,0.388689
C0375,consolidado,59,7,280,223.12,1,0.119709,0.410028
C0376,consolidado,14,25,327,2991.82,0,0.05776,0.301914
C0377,consolidado,44,12,257,1109.04,0,0.083024,0.351614
C0378,consolidado,190,8,437,1464.71,1,0.788697,0.905112
C0379,reciente,85,3,195,275.39,0,0.344766,0.639381
C0380,consolidado,15,17,347,1650.71,0,0.060111,0.307016
C0381,reciente,43,7,170,745.57,0,0.251567,0.560112
C0382,consolidado,327,3,399,162.61,1,0.970288,0.987412
C0383,veterano,16,15,537,653.4,0,0.088793,0.361676
C0384,reciente,9,5,191,859.15,0,0.10858,0.393564
C0385,veterano,4,26,477,5129.54,0,0.104061,0.386599
C0386,veterano,94,9,462,547.32,1,0.252872,0.56133
C0387,veterano,361,3,464,211.13,1,0.980628,0.991818
C0388,veterano,38,12,457,862.94,0,0.134507,0.430598
C0389,consolidado,25,16,369,1776.48,0,0.096732,0.374921
C0390,consolidado,226,4,291,448.05,1,0.813657,0.917034
C0391,consolidado,68,6,259,626.58,0,0.202031,0.510829
C0392,reciente,70,3,217,130.14,1,0.081522,0.348928
C0393,reciente,104,5,234,753.48,0,0.02568,0.214798
C0394,consolidado,6,22,404,1871.69,0,0.058863,0.304322
C0395,consolidado,57,5,313,460.6,0,0.104168,0.386766
C0396,veterano,3,17,459,2771.36,0,0.082164,0.35008
C0397,veterano,45,23,532,870.13,0,0.134679,0.43083
C0398,veterano,7,18,501,1418.99,0,0.054169,0.293883
C0399,veterano,21,15,526,2279.35,0,0.150205,0.451031
C0400,consolidado,145,6,376,140.95,1,0.576239,0.793328
